Start_Time,End_Time,Instance,InstanceID,Price,Market,Region,Zone,Algorithm_Name,Allocation_Strategy,Class,Time_in_Seconds,Total_Threads,Available_Threads,Mops_Total,Mops_per_Thread,Status
2025-05-12 12:17:54.050888,2025-05-12 12:18:17.595835,c5d.24xlarge,,1.0523,spot,us-east-1,b,bt.A.x,lowest-price,A,1.03,48.0,48.0,162934.18,3394.46,SUCCESS
2025-05-12 12:17:53.992236,2025-05-12 12:18:32.002149,c5d.24xlarge,,1.0523,spot,us-east-1,b,bt.A.x,lowest-price,A,1.01,48.0,48.0,165848.91,3455.19,SUCCESS
2025-05-12 12:17:53.947762,2025-05-12 12:18:45.893598,c5d.24xlarge,,1.0523,spot,us-east-1,b,bt.A.x,lowest-price,A,0.94,48.0,48.0,178156.19,3711.59,SUCCESS
2025-05-12 12:17:53.968164,2025-05-12 12:19:01.293921,c5d.24xlarge,,1.0523,spot,us-east-1,b,bt.A.x,lowest-price,A,0.95,48.0,48.0,176668.62,3680.6,SUCCESS
2025-05-12 12:17:54.034564,2025-05-12 12:19:16.411584,c5d.24xlarge,,1.0523,spot,us-east-1,b,bt.A.x,lowest-price,A,0.97,48.0,48.0,174207.4,3629.32,SUCCESS
2025-05-12 12:17:54.008376,2025-05-12 12:19:30.360959,c5d.24xlarge,,1.0523,spot,us-east-1,b,bt.A.x,lowest-price,A,0.95,48.0,48.0,176698.67,3681.22,SUCCESS
2025-05-12 12:17:54.020553,2025-05-12 12:19:45.761363,c5d.24xlarge,,1.0523,spot,us-east-1,b,bt.A.x,lowest-price,A,0.94,48.0,48.0,179888.86,3747.68,SUCCESS
2025-05-12 12:17:53.958113,2025-05-12 12:19:59.665091,c5d.24xlarge,,1.0523,spot,us-east-1,b,bt.A.x,lowest-price,A,0.95,48.0,48.0,176945.69,3686.37,SUCCESS
2025-05-12 12:17:53.979616,2025-05-12 12:20:15.453411,c5d.24xlarge,,1.0523,spot,us-east-1,b,bt.A.x,lowest-price,A,0.93,48.0,48.0,181095.35,3772.82,SUCCESS
2025-05-12 12:17:54.063772,2025-05-12 12:20:28.788004,c5d.24xlarge,,1.0523,spot,us-east-1,b,bt.A.x,lowest-price,A,0.94,48.0,48.0,178473.8,3718.2,SUCCESS
2025-05-12 15:11:21.827790,2025-05-12 15:12:13.179401,c5d.24xlarge,,1.0523,spot,us-east-1,b,bt.A.x,lowest-price,A,1.05,48.0,48.0,160589.07,3345.61,SUCCESS
2025-05-12 15:11:21.842911,2025-05-12 15:12:30.900372,c5d.24xlarge,,1.0523,spot,us-east-1,b,bt.A.x,lowest-price,A,0.91,48.0,48.0,184003.67,3833.41,SUCCESS
2025-05-12 15:11:21.865995,2025-05-12 15:12:50.022382,c5d.24xlarge,,1.0523,spot,us-east-1,b,bt.A.x,lowest-price,A,1.01,48.0,48.0,165961.67,3457.53,SUCCESS
2025-05-12 15:11:21.889279,2025-05-12 15:13:07.523447,c5d.24xlarge,,1.0523,spot,us-east-1,b,bt.A.x,lowest-price,A,0.97,48.0,48.0,173577.44,3616.2,SUCCESS
2025-05-12 15:11:21.859779,2025-05-12 15:13:24.950908,c5d.24xlarge,,1.0523,spot,us-east-1,b,bt.A.x,lowest-price,A,1.0,48.0,48.0,167885.6,3497.62,SUCCESS
2025-05-12 15:11:21.904561,2025-05-12 15:13:42.334235,c5d.24xlarge,,1.0523,spot,us-east-1,b,bt.A.x,lowest-price,A,0.97,48.0,48.0,173895.31,3622.82,SUCCESS
2025-05-12 15:11:21.822203,2025-05-12 15:14:00.253257,c5d.24xlarge,,1.0523,spot,us-east-1,b,bt.A.x,lowest-price,A,1.07,48.0,48.0,156602.94,3262.56,SUCCESS
2025-05-12 15:11:21.802431,2025-05-12 15:14:17.647754,c5d.24xlarge,,1.0523,spot,us-east-1,b,bt.A.x,lowest-price,A,1.02,48.0,48.0,165514.74,3448.22,SUCCESS
2025-05-12 15:11:21.812337,2025-05-12 15:14:34.452675,c5d.24xlarge,,1.0523,spot,us-east-1,b,bt.A.x,lowest-price,A,0.97,48.0,48.0,173554.08,3615.71,SUCCESS
2025-05-12 15:11:21.854418,2025-05-12 15:14:48.090387,c5d.24xlarge,,1.0523,spot,us-east-1,b,bt.A.x,lowest-price,A,1.04,48.0,48.0,162270.95,3380.64,SUCCESS
2025-05-17 12:07:49.598602,2025-05-17 12:08:47.707246,c5.24xlarge,,1.326,spot,us-east-1,f,bt.A.x,capacity-optimized,A,1.07,48.0,48.0,157895.54,3289.49,SUCCESS
2025-05-17 12:07:49.549928,2025-05-17 12:09:14.374591,c5.24xlarge,,1.326,spot,us-east-1,f,bt.A.x,capacity-optimized,A,0.95,48.0,48.0,178028.99,3708.94,SUCCESS
2025-05-17 12:07:49.512280,2025-05-17 12:09:40.970286,c5.24xlarge,,1.326,spot,us-east-1,f,bt.A.x,capacity-optimized,A,0.93,48.0,48.0,180648.2,3763.5,SUCCESS
2025-05-17 12:07:49.569874,2025-05-17 12:10:07.725286,c5.24xlarge,,1.326,spot,us-east-1,f,bt.A.x,capacity-optimized,A,1.08,48.0,48.0,155599.53,3241.66,SUCCESS
2025-05-17 12:07:49.507033,2025-05-17 12:10:23.085463,c5.24xlarge,,1.326,spot,us-east-1,f,bt.A.x,capacity-optimized,A,0.96,48.0,48.0,175836.47,3663.26,SUCCESS
2025-05-17 12:07:49.522763,2025-05-17 12:10:39.030618,c5.24xlarge,,1.326,spot,us-east-1,f,bt.A.x,capacity-optimized,A,0.98,48.0,48.0,172193.34,3587.36,SUCCESS
2025-05-17 12:07:49.559893,2025-05-17 12:10:54.757475,c5.24xlarge,,1.326,spot,us-east-1,f,bt.A.x,capacity-optimized,A,0.99,48.0,48.0,170429.42,3550.61,SUCCESS
2025-05-17 12:07:49.580010,2025-05-17 12:11:10.088121,c5.24xlarge,,1.326,spot,us-east-1,f,bt.A.x,capacity-optimized,A,0.95,48.0,48.0,176891.63,3685.24,SUCCESS
2025-05-17 12:07:49.586037,2025-05-17 12:11:25.245512,c5.24xlarge,,1.326,spot,us-east-1,f,bt.A.x,capacity-optimized,A,0.92,48.0,48.0,183872.72,3830.68,SUCCESS
2025-05-17 12:07:49.538648,2025-05-17 12:11:41.465404,c5.24xlarge,,1.326,spot,us-east-1,f,bt.A.x,capacity-optimized,A,1.0,48.0,48.0,167697.7,3493.7,SUCCESS
2025-05-19 18:39:22.312166,2025-05-19 18:40:03.533382,c5.24xlarge,,1.3826,spot,us-east-1,f,bt.A.x,capacity-optimized,A,1.06,48.0,48.0,158553.98,3303.21,SUCCESS
2025-05-19 18:39:22.318432,2025-05-19 18:40:20.193739,c5.24xlarge,,1.3826,spot,us-east-1,f,bt.A.x,capacity-optimized,A,1.05,48.0,48.0,160097.41,3335.36,SUCCESS
2025-05-19 18:39:22.350995,2025-05-19 18:40:37.703664,c5.24xlarge,,1.3826,spot,us-east-1,f,bt.A.x,capacity-optimized,A,0.97,48.0,48.0,174025.79,3625.54,SUCCESS
2025-05-19 18:39:22.362003,2025-05-19 18:40:53.698906,c5.24xlarge,,1.3826,spot,us-east-1,f,bt.A.x,capacity-optimized,A,0.97,48.0,48.0,174258.14,3630.38,SUCCESS
2025-05-19 18:39:22.337280,2025-05-19 18:41:10.369534,c5.24xlarge,,1.3826,spot,us-east-1,f,bt.A.x,capacity-optimized,A,0.97,48.0,48.0,173092.29,3606.09,SUCCESS
2025-05-19 18:39:22.259761,2025-05-19 18:41:25.785884,c5.24xlarge,,1.3826,spot,us-east-1,f,bt.A.x,capacity-optimized,A,0.96,48.0,48.0,174810.13,3641.88,SUCCESS
2025-05-19 18:39:22.265003,2025-05-19 18:41:41.372076,c5.24xlarge,,1.3826,spot,us-east-1,f,bt.A.x,capacity-optimized,A,0.92,48.0,48.0,182408.61,3800.18,SUCCESS
2025-05-19 18:39:22.279401,2025-05-19 18:41:57.508530,c5.24xlarge,,1.3826,spot,us-east-1,f,bt.A.x,capacity-optimized,A,0.93,48.0,48.0,180638.65,3763.31,SUCCESS
2025-05-19 18:39:22.289371,2025-05-19 18:42:18.149174,c5.24xlarge,,1.3826,spot,us-east-1,f,bt.A.x,capacity-optimized,A,0.98,48.0,48.0,171342.24,3569.63,SUCCESS
2025-05-19 18:39:22.294889,2025-05-19 18:42:34.563660,c5.24xlarge,,1.3826,spot,us-east-1,f,bt.A.x,capacity-optimized,A,0.96,48.0,48.0,175439.68,3654.99,SUCCESS
2025-05-20 19:40:39.333993,2025-05-20 19:41:22.835399,c5.24xlarge,,1.3837,spot,us-east-1,f,bt.A.x,capacity-optimized,A,1.04,48.0,48.0,161255.16,3359.48,SUCCESS
2025-05-20 19:40:39.261973,2025-05-20 19:41:47.001526,c5.24xlarge,,1.3837,spot,us-east-1,f,bt.A.x,capacity-optimized,A,1.04,48.0,48.0,162147.04,3378.06,SUCCESS
2025-05-20 19:40:39.241891,2025-05-20 19:42:10.891078,c5.24xlarge,,1.3837,spot,us-east-1,f,bt.A.x,capacity-optimized,A,0.95,48.0,48.0,176951.34,3686.49,SUCCESS
2025-05-20 19:40:39.317841,2025-05-20 19:42:36.850084,c5.24xlarge,,1.3837,spot,us-east-1,f,bt.A.x,capacity-optimized,A,0.98,48.0,48.0,171242.68,3567.56,SUCCESS
2025-05-20 19:40:39.247117,2025-05-20 19:43:02.122502,c5.24xlarge,,1.3837,spot,us-east-1,f,bt.A.x,capacity-optimized,A,0.94,48.0,48.0,179393.14,3737.36,SUCCESS
2025-05-20 19:40:39.283041,2025-05-20 19:43:27.372075,c5.24xlarge,,1.3837,spot,us-east-1,f,bt.A.x,capacity-optimized,A,0.97,48.0,48.0,172842.72,3600.89,SUCCESS
2025-05-20 19:40:39.294579,2025-05-20 19:43:53.218460,c5.24xlarge,,1.3837,spot,us-east-1,f,bt.A.x,capacity-optimized,A,0.94,48.0,48.0,178189.61,3712.28,SUCCESS
2025-05-20 19:40:39.272121,2025-05-20 19:44:17.281003,c5.24xlarge,,1.3837,spot,us-east-1,f,bt.A.x,capacity-optimized,A,0.94,48.0,48.0,179188.57,3733.1,SUCCESS
2025-05-20 19:40:39.348870,2025-05-20 19:44:42.691267,c5.24xlarge,,1.3837,spot,us-east-1,f,bt.A.x,capacity-optimized,A,0.96,48.0,48.0,175282.54,3651.72,SUCCESS
2025-05-20 19:40:39.311108,2025-05-20 19:45:10.178061,c5.24xlarge,,1.3837,spot,us-east-1,f,bt.A.x,capacity-optimized,A,1.01,48.0,48.0,166400.8,3466.68,SUCCESS
2025-05-22 16:16:26.175542,2025-05-22 16:17:10.596371,c5.24xlarge,,1.3613,spot,us-east-1,f,bt.A.x,price-capacity-optimized,A,1.09,48.0,48.0,153910.66,3206.47,SUCCESS
2025-05-22 16:16:26.180758,2025-05-22 16:17:26.122476,c5.24xlarge,,1.3613,spot,us-east-1,f,bt.A.x,price-capacity-optimized,A,1.11,48.0,48.0,151325.19,3152.61,SUCCESS
2025-05-22 16:16:26.217535,2025-05-22 16:17:45.360595,c5.24xlarge,,1.3613,spot,us-east-1,f,bt.A.x,price-capacity-optimized,A,0.95,48.0,48.0,177023.3,3687.99,SUCCESS
